"codigo";"nivel";"descripcion"
397;"0515";"HISTORIA DEL ARTE"
398;"0517";"MUSEÍSTICA Y GESTIÓN CULTURAL"
399;"0518";"MÚSICA"
400;"0519";"NUEVAS TENDENCIAS"
401;"0523";"PINTURA, DIBUJO, GRABADO"
402;"0525";"TÉCNICAS DE DIBUJO Y PINTURA"
403;"06";"PSICOLOGIA"
404;"0601";"GERONTOLOGÍA"
405;"0602";"CLÍNICA"
406;"0604";"DROGODEPENDENCIAS"
407;"0605";"ESTADÍSTICA"
408;"0607";"MALOS TRATOS Y ABUSOS"
409;"0608";"MEDIACIÓN"
410;"0609";"MUSICOTERAPIA"
411;"0610";"COGNITIVA"
412;"0611";"PERSONALIDAD"
413;"0612";"DE LA SALUD"
414;"0613";"APRENDIZAJE"
415;"0614";"DEPORTIVA"
416;"0615";"LABORAL"
417;"0616";"PSIQUIATRÍA"
418;"0617";"EDUCATIVA"
419;"0619";"EVOLUTIVA"
420;"0620";"FISIOLÓGICA"
421;"0621";"PSICOLOGÍA Y PSICOANÁLISIS"
422;"0622";"JURÍDICA Y FORENSE"
423;"0623";"SOCIAL Y COMUNITARIA"
424;"0624";"PSICOMETRÍA"
425;"0625";"SEXUALIDAD"
426;"0626";"TERAPIA FAMILIAR Y DE GRUPOS"
427;"0627";"TERAPIA GESTALT"
428;"0628";"TEST (JUEGO COMPLETO)"
429;"0629";"TEST (COMPLEMENTOS)"
430;"0630";"TRABAJO SOCIAL"
431;"07";"EDUCACION"
432;"0701";"ANIMACIÓN A LA LECTURA"
433;"0702";"CREATIVIDAD"
434;"0703";"DIDÁCTICA"
435;"0704";"EDUCACIÓN DE ADULTOS"
436;"0705";"EDUCACIÓN ESPECIAL"
437;"0706";"EDUCACIÓN INFANTIL"
438;"0707";"EDUCACIÓN SEXUAL"
439;"0708";"EDUCACIÓN SOCIAL"
440;"0709";"ESTIMULACIÓN PRECOZ"
441;"0710";"LECTO-ESCRITURA. MÉTODOS"
442;"0711";"LECTURA Y ESCRITURA"
443;"0712";"LOGOPEDIA"
444;"0713";"PSICOMOTRICIDAD"
445;"0714";"ORGANIZACIÓN Y DIRECCIÓN"
446;"0715";"ORIENTACIÓN Y APOYO"
447;"0716";"ORTOGRAFÍA"
448;"0718";"SUPERDOTADOS"
449;"0719";"TÉCNICAS DE ESTUDIO"
